study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,study_title,experiment_alias,fastq_ftp,sample_title,reference,
PRJNA418874,SAMN08038360,SRX3402246,SRR6301372,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.SN04,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/002/SRR6301372/SRR6301372_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/002/SRR6301372/SRR6301372_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038359,SRX3402245,SRR6301373,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.SN03,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/003/SRR6301373/SRR6301373_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/003/SRR6301373/SRR6301373_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038306,SRX3402244,SRR6301374,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.AK10,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/004/SRR6301374/SRR6301374_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/004/SRR6301374/SRR6301374_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038305,SRX3402243,SRR6301375,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.AK09,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/005/SRR6301375/SRR6301375_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/005/SRR6301375/SRR6301375_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038298,SRX3402242,SRR6301376,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.AK02,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/006/SRR6301376/SRR6301376_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/006/SRR6301376/SRR6301376_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038297,SRX3402241,SRR6301377,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.AK01,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/007/SRR6301377/SRR6301377_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/007/SRR6301377/SRR6301377_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038300,SRX3402240,SRR6301378,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.AK04,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/008/SRR6301378/SRR6301378_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/008/SRR6301378/SRR6301378_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038299,SRX3402239,SRR6301379,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.AK03,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/009/SRR6301379/SRR6301379_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/009/SRR6301379/SRR6301379_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038302,SRX3402238,SRR6301380,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.AK06,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/000/SRR6301380/SRR6301380_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/000/SRR6301380/SRR6301380_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038301,SRX3402237,SRR6301381,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.AK05,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/001/SRR6301381/SRR6301381_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/001/SRR6301381/SRR6301381_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038304,SRX3402236,SRR6301382,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.AK08,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/002/SRR6301382/SRR6301382_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/002/SRR6301382/SRR6301382_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038303,SRX3402235,SRR6301383,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.AK07,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/003/SRR6301383/SRR6301383_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/003/SRR6301383/SRR6301383_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038286,SRX3402234,SRR6301384,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.YL10,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/004/SRR6301384/SRR6301384_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/004/SRR6301384/SRR6301384_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038285,SRX3402233,SRR6301385,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.YL09,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/005/SRR6301385/SRR6301385_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/005/SRR6301385/SRR6301385_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038284,SRX3402232,SRR6301386,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.YL08,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/006/SRR6301386/SRR6301386_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/006/SRR6301386/SRR6301386_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038283,SRX3402231,SRR6301387,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.YL07,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/007/SRR6301387/SRR6301387_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/007/SRR6301387/SRR6301387_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038282,SRX3402230,SRR6301388,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.YL06,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/008/SRR6301388/SRR6301388_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/008/SRR6301388/SRR6301388_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038281,SRX3402229,SRR6301389,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.YL05,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/009/SRR6301389/SRR6301389_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/009/SRR6301389/SRR6301389_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038280,SRX3402228,SRR6301390,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.YL04,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/000/SRR6301390/SRR6301390_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/000/SRR6301390/SRR6301390_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038279,SRX3402227,SRR6301391,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.YL03,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/001/SRR6301391/SRR6301391_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/001/SRR6301391/SRR6301391_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038278,SRX3402226,SRR6301392,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.YL02,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/002/SRR6301392/SRR6301392_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/002/SRR6301392/SRR6301392_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038277,SRX3402225,SRR6301393,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.YL01,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/003/SRR6301393/SRR6301393_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/003/SRR6301393/SRR6301393_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038435,SRX3402224,SRR6301394,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.HK09,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/004/SRR6301394/SRR6301394_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/004/SRR6301394/SRR6301394_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038436,SRX3402223,SRR6301395,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.HK10,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/005/SRR6301395/SRR6301395_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/005/SRR6301395/SRR6301395_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038427,SRX3402222,SRR6301396,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.HK01,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/006/SRR6301396/SRR6301396_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/006/SRR6301396/SRR6301396_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038428,SRX3402221,SRR6301397,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.HK02,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/007/SRR6301397/SRR6301397_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/007/SRR6301397/SRR6301397_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038429,SRX3402220,SRR6301398,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.HK03,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/008/SRR6301398/SRR6301398_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/008/SRR6301398/SRR6301398_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038430,SRX3402219,SRR6301399,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.HK04,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/009/SRR6301399/SRR6301399_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/009/SRR6301399/SRR6301399_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038431,SRX3402218,SRR6301400,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.HK05,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/000/SRR6301400/SRR6301400_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/000/SRR6301400/SRR6301400_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038432,SRX3402217,SRR6301401,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.HK06,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/001/SRR6301401/SRR6301401_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/001/SRR6301401/SRR6301401_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038433,SRX3402216,SRR6301402,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.HK07,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/002/SRR6301402/SRR6301402_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/002/SRR6301402/SRR6301402_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038434,SRX3402215,SRR6301403,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.HK08,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/003/SRR6301403/SRR6301403_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/003/SRR6301403/SRR6301403_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038315,SRX3402214,SRR6301404,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.MY09,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/004/SRR6301404/SRR6301404_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/004/SRR6301404/SRR6301404_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038316,SRX3402213,SRR6301405,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.MY10,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/005/SRR6301405/SRR6301405_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/005/SRR6301405/SRR6301405_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038309,SRX3402212,SRR6301406,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.MY03,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/006/SRR6301406/SRR6301406_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/006/SRR6301406/SRR6301406_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038310,SRX3402211,SRR6301407,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.MY04,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/007/SRR6301407/SRR6301407_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/007/SRR6301407/SRR6301407_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038307,SRX3402210,SRR6301408,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.MY01,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/008/SRR6301408/SRR6301408_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/008/SRR6301408/SRR6301408_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038308,SRX3402209,SRR6301409,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.MY02,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/009/SRR6301409/SRR6301409_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/009/SRR6301409/SRR6301409_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038313,SRX3402208,SRR6301410,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.MY07,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/000/SRR6301410/SRR6301410_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/000/SRR6301410/SRR6301410_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038314,SRX3402207,SRR6301411,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.MY08,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/001/SRR6301411/SRR6301411_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/001/SRR6301411/SRR6301411_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038311,SRX3402206,SRR6301412,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.MY05,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/002/SRR6301412/SRR6301412_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/002/SRR6301412/SRR6301412_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038312,SRX3402205,SRR6301413,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.MY06,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/003/SRR6301413/SRR6301413_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/003/SRR6301413/SRR6301413_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038295,SRX3402204,SRR6301414,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.XA09,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/004/SRR6301414/SRR6301414_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/004/SRR6301414/SRR6301414_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038296,SRX3402203,SRR6301415,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.XA10,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/005/SRR6301415/SRR6301415_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/005/SRR6301415/SRR6301415_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038287,SRX3402202,SRR6301416,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.XA01,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/006/SRR6301416/SRR6301416_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/006/SRR6301416/SRR6301416_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038288,SRX3402201,SRR6301417,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.XA02,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/007/SRR6301417/SRR6301417_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/007/SRR6301417/SRR6301417_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038289,SRX3402200,SRR6301418,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.XA03,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/008/SRR6301418/SRR6301418_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/008/SRR6301418/SRR6301418_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038290,SRX3402199,SRR6301419,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.XA04,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/009/SRR6301419/SRR6301419_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/009/SRR6301419/SRR6301419_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038291,SRX3402198,SRR6301420,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.XA05,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/000/SRR6301420/SRR6301420_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/000/SRR6301420/SRR6301420_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038292,SRX3402197,SRR6301421,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.XA06,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/001/SRR6301421/SRR6301421_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/001/SRR6301421/SRR6301421_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038293,SRX3402196,SRR6301422,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.XA07,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/002/SRR6301422/SRR6301422_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/002/SRR6301422/SRR6301422_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038294,SRX3402195,SRR6301423,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.XA08,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/003/SRR6301423/SRR6301423_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/003/SRR6301423/SRR6301423_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038424,SRX3402194,SRR6301424,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.ZZ08,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/004/SRR6301424/SRR6301424_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/004/SRR6301424/SRR6301424_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038423,SRX3402193,SRR6301425,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.ZZ07,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/005/SRR6301425/SRR6301425_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/005/SRR6301425/SRR6301425_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038422,SRX3402192,SRR6301426,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.ZZ06,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/006/SRR6301426/SRR6301426_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/006/SRR6301426/SRR6301426_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038421,SRX3402191,SRR6301427,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.ZZ05,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/007/SRR6301427/SRR6301427_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/007/SRR6301427/SRR6301427_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
PRJNA418874,SAMN08038420,SRX3402190,SRR6301428,7461,Apis cerana,Whole genome resequencing of Apis cerana in China,lib.ZZ04,ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/008/SRR6301428/SRR6301428_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR630/008/SRR6301428/SRR6301428_2.fastq.gz,This sample has been submitted by pda|chenchaoiar on 2018-06-28; Apis cerana,https://academic.oup.com/mbe/article/35/9/2260/5040667?login=true,
